"fdc_id","data_type","description","food_category_id","publication_date"
"319874","sample_food","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319875","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319876","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319877","sub_sample_food","Hummus","16","2019-04-01"
"319878","sub_sample_food",,"16","2019-04-01"
"319879","sample_food","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319880","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319881","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319882","sub_sample_food","Hummus","16","2019-04-01"
"319883","sub_sample_food","Hummus","16","2019-04-01"
"319884","sub_sample_food","Hummus","16","2019-04-01"
"319885","sample_food","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319886","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319887","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319888","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319889","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319890","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319891","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319892","sub_sample_food","Hummus","16","2019-04-01"
"319893","sub_sample_food","Hummus","16","2019-04-01"
"319894","sample_food","HUMMUS, OTHER","16","2019-04-01"
"319895","market_acquisition","HUMMUS, OTHER","16","2019-04-01"
"319896","market_acquisition","HUMMUS, OTHER","16","2019-04-01"
"319897","market_acquisition","HUMMUS, OTHER","16","2019-04-01"
"319898","market_acquisition","HUMMUS, OTHER","16","2019-04-01"
"319899","sub_sample_food","Hummus","16","2019-04-01"
"319900","sub_sample_food","Hummus","16","2019-04-01"
"319901","sample_food","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319902","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319903","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319904","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319905","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319906","sub_sample_food","Hummus - NFY12140O","16","2019-04-01"
"319907","sub_sample_food","Hummus - NFY12140P","16","2019-04-01"
"319908","sub_sample_food","Hummus","16","2019-04-01"
"319909","sub_sample_food","Hummus","16","2019-04-01"
"319910","sub_sample_food","Hummus","16","2019-04-01"
"319911","sub_sample_food","Hummus","16","2019-04-01"
"319912","sub_sample_food","Hummus","16","2019-04-01"
"319913","sub_sample_food","Hummus","16","2019-04-01"
"319914","sub_sample_food","Hummus","16","2019-04-01"
"319915","sub_sample_food","Hummus - NFY12140Q","16","2019-04-01"
"319916","sub_sample_food","Hummus - NFY12140R","16","2019-04-01"
"319917","sub_sample_food","Hummus - NFY12140S","16","2019-04-01"
"319918","sub_sample_food","Hummus - NFY12140F","16","2019-04-01"
"319919","sub_sample_food","Hummus - NFY12140G","16","2019-04-01"
"319920","sub_sample_food","Hummus, Sabra Classic - CA1, IN","16","2019-04-01"
"319921","sample_food","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319922","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319923","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319924","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319925","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319926","sub_sample_food","Hummus - NFY12141C","16","2019-04-01"
"319927","sub_sample_food","Hummus - NFY12141D","16","2019-04-01"
"319928","sub_sample_food","Hummus","16","2019-04-01"
"319929","sub_sample_food","Hummus","16","2019-04-01"
"319930","sub_sample_food","Hummus","16","2019-04-01"
"319931","sub_sample_food","Hummus","16","2019-04-01"
"319932","sub_sample_food","Hummus","16","2019-04-01"
"319933","sub_sample_food","Hummus - NFY12141E","16","2019-04-01"
"319934","sub_sample_food","Hummus - NFY12141F","16","2019-04-01"
"319935","sub_sample_food","Hummus - NFY12141G","16","2019-04-01"
"319936","sub_sample_food","Hummus - NFY12141H","16","2019-04-01"
"319937","sub_sample_food","Hummus - NFY121416","16","2019-04-01"
"319938","sub_sample_food","Hummus, Sabra Classic - GA, NJ","16","2019-04-01"
"319939","sample_food","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319940","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319941","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319942","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319943","market_acquisition","HUMMUS, SABRA CLASSIC","16","2019-04-01"
"319944","sub_sample_food","Hummus - NFY1213ZV","16","2019-04-01"
"319945","sub_sample_food","Hummus - NFY1213ZW","16","2019-04-01"
"319946","sub_sample_food","Hummus","16","2019-04-01"
"319947","sub_sample_food","Hummus","16","2019-04-01"
"319948","sub_sample_food","Hummus","16","2019-04-01"
"319949","sub_sample_food","Hummus","16","2019-04-01"
"319950","sub_sample_food","Hummus","16","2019-04-01"
"319951","sub_sample_food","Hummus - NFY1213ZX","16","2019-04-01"
"319952","sub_sample_food","Hummus - NFY1213ZY","16","2019-04-01"
"319953","sub_sample_food","Hummus - NFY1213ZZ","16","2019-04-01"
"319954","sub_sample_food","Hummus - NFY121400","16","2019-04-01"
"319955","sub_sample_food","Hummus","16","2019-04-01"
"319956","sub_sample_food","Hummus - NFY1213ZP","16","2019-04-01"
"319957","sub_sample_food","Hummus, Sabra Classic - KY, CA2","16","2019-04-01"
"319958","sample_food","HUMMUS, TRIBE CLASSIC","16","2019-04-01"
"319959","market_acquisition","HUMMUS, TRIBE CLASSIC","16","2019-04-01"
"319960","market_acquisition","HUMMUS, TRIBE CLASSIC","16","2019-04-01"
"319961","market_acquisition","HUMMUS, TRIBE CLASSIC","16","2019-04-01"
"319962","market_acquisition","HUMMUS, TRIBE CLASSIC","16","2019-04-01"
